Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Label
0.50364244,1.0330477,0.10586103,0.0,0.7467775,1.1077342,0.13683718,0.0,1.3580815,0.9451676,0.2683062,0.0,0.5075705,0.92844206,0.1460449,0.0,0.028313499,-0.07665991,-0.15260912,0.0,0
0.8013438,1.0985953,0.19778486,0.0,0.975121,0.88579094,0.17443168,0.0,1.5495222,0.7318532,0.25907812,0.0,0.3969116,0.958235,0.22276704,0.0,-0.108349234,-0.076978415,-0.24140298,0.0,0
0.7602505,1.0054644,0.4388797,0.0,0.65403575,0.713208,0.24337153,0.0,1.2938901,0.9740892,0.539413,0.0,0.43463564,0.5883252,0.28910503,0.0,-0.22096151,0.29267758,-0.1586314,0.0,0
0.787181,1.0511534,0.54742163,0.0,0.6770334,0.45163727,0.161808,0.0,1.298737,0.9540589,0.54909885,0.0,0.42128587,0.7584398,0.13459377,0.0,-0.24219972,0.31609666,-0.13380782,0.0,0
0.886993,1.09977,0.5333615,0.0,0.8447787,0.47028375,0.30444753,0.0,1.3267835,0.94852555,0.37942496,0.0,0.32886937,0.7845836,0.08027815,0.0,0.07490557,0.3093378,-0.1251452,0.0,0
0.80967814,0.8563172,0.82068026,0.0,1.1189696,1.2844546,0.29687583,0.0,1.4513633,1.1372688,0.38809776,0.0,0.46418414,0.57951987,0.20190169,0.0,0.123949744,0.22894906,-0.2659509,0.0,0
0.95250434,0.99806917,0.8074054,0.0,1.15957,1.0041548,0.40109628,0.0,1.4099048,1.2049452,0.6755627,0.0,0.4228095,0.7574096,0.21854977,0.0,-0.20493771,0.0731355,-0.2796112,0.0,0
1.3929489,1.1162553,0.7093173,0.0,1.1244962,0.70581704,0.517245,0.0,1.2986943,1.1157142,0.64085805,0.0,0.36332244,0.64009887,0.13008502,0.0,0.021781584,0.11224071,-0.13461642,0.0,0
1.2872282,1.1457509,0.52337486,0.0,1.026569,0.8437506,0.3120535,0.0,1.3206823,1.0841563,0.4387182,0.0,0.4584572,0.6271876,0.21009219,0.0,-0.055837672,-0.0006741205,-0.16443036,0.0,0
0.8047373,0.9431611,0.5195055,0.0,0.67203486,0.7504793,0.21507815,0.0,1.1432004,1.0358287,0.51736194,0.0,0.5230602,0.7376224,0.21123277,0.0,-0.10407143,0.024413873,-0.3693174,0.0,0
0.9159167,0.9356134,0.57331043,0.0,0.7249827,0.7386264,0.30169496,0.0,1.1456015,1.1118009,0.52517563,0.0,0.47635022,0.6519533,0.097978465,0.0,-0.09612456,-0.045944218,-0.5588409,0.0,0
1.0895487,0.8830028,0.35250193,0.0,0.6391171,0.7434537,0.31491846,0.0,0.97621185,1.1896149,0.6233495,0.0,0.4146449,0.60365117,0.2051863,0.0,-0.0515477,-0.07280647,-0.30681932,0.0,0
0.8195094,0.859159,0.58483565,0.0,0.5007032,0.6294,0.3859479,0.0,0.6451197,1.0759678,0.36380315,0.0,0.4114425,0.68038976,0.10051493,0.0,-0.23627967,0.13698009,-0.23139074,0.0,0
0.6715585,1.0983423,0.54089856,0.0,0.25915962,0.7115159,0.49992332,0.0,0.7755697,1.0998514,0.5324084,0.0,0.39248043,0.7605102,-0.003946233,0.0,-0.1612204,0.09522471,-0.25535074,0.0,0
0.62338704,1.2167766,0.8638333,0.0,0.11569827,0.99212205,0.6377286,0.0,0.6285287,1.0919076,0.5585509,0.0,0.45894858,0.4876726,0.30532864,0.0,-0.3161664,0.062276915,-0.11932742,0.0,0
0.5940231,1.3391341,0.64696604,0.0,0.7367996,1.1496383,0.5596453,0.0,1.152737,1.020976,0.6117511,0.0,0.36369327,0.9201277,0.26289362,0.0,-0.15575393,-0.17259577,-0.13671048,0.0,0
0.5640136,1.3391341,0.3861017,0.0,0.7802603,1.1496383,0.48972607,0.0,1.3202186,1.020976,0.69835854,0.0,0.34494072,0.9201277,0.2035467,0.0,-0.09392752,-0.17259577,-0.2435597,0.0,0
0.54901165,1.2331127,0.51020133,0.0,1.0128947,1.1462935,0.45510253,0.0,1.5016826,1.1743926,0.7193025,0.0,0.2961223,0.61340296,0.299209,0.0,-0.08582566,0.16587369,-0.15576792,0.0,0
0.65060675,1.2809339,0.9332382,0.0,0.76481426,1.1271975,0.79976755,0.0,1.48083,1.1502465,1.0629351,0.0,0.39526132,0.58921677,0.55579865,0.0,-0.16913275,0.14471145,-0.091545336,0.0,0
0.89624584,1.2809339,0.85033,0.0,0.7820085,1.1271975,0.76608515,0.0,1.2476722,1.1502465,1.1817533,0.0,0.32984525,0.58921677,0.753494,0.0,-0.27829126,0.14471145,-0.024945056,0.0,0
1.2608382,1.2809339,1.0703114,0.0,0.66428286,1.1271975,0.7738273,0.0,1.280416,1.1502465,1.1612749,0.0,0.34425738,0.58921677,0.6001703,0.0,-0.116347246,0.14471145,0.049936503,0.0,0
0.9666654,1.2809339,1.1559929,0.0,0.62258077,1.1271975,0.8046346,0.0,0.7262656,1.1502465,1.088225,0.0,0.41834223,0.58921677,0.5852692,0.0,-0.027090197,0.14471145,-0.071972735,0.0,0
1.0359789,1.2809339,0.99090916,0.0,0.53009444,1.1271975,0.77795714,0.0,1.3570765,1.1502465,0.9390994,0.0,0.29913223,0.58921677,0.71468824,0.0,0.12521681,0.14471145,0.07777491,0.0,0
0.9781289,1.2809339,0.9803311,0.0,0.6481747,1.1271975,0.86741143,0.0,1.382099,1.1502465,1.1183641,0.0,0.3348312,0.58921677,0.72569513,0.0,0.0056084436,0.14471145,0.17474082,0.0,0
1.2843704,1.2809339,1.1411881,0.0,0.48092765,1.1271975,0.70343244,0.0,0.80571663,1.1502465,1.0823935,0.0,0.41992936,0.58921677,0.743517,0.0,-0.051709328,0.14471145,0.14402479,0.0,0
1.3411455,1.2809339,1.1757404,0.0,0.59449244,1.1271975,1.141369,0.0,0.71584046,1.1502465,1.1672537,0.0,0.45828673,0.58921677,0.74916387,0.0,-0.026218677,0.14471145,0.19200955,0.0,0
0.8523354,1.2809339,1.1674645,0.0,0.73559725,1.1271975,1.0293866,0.0,0.88559335,1.1502465,1.0991774,0.0,0.31889212,0.58921677,0.80774623,0.0,-0.2393716,0.14471145,0.008601324,0.0,0
0.8981559,1.1598028,1.0413646,0.0,0.735121,1.1258522,0.9029045,0.0,0.83040816,1.3947417,1.0492139,0.0,0.27538303,0.6138285,0.57380706,0.0,-0.2204877,0.1961404,0.18213595,0.0,0
1.2510822,1.189607,1.1126765,0.0,0.60653883,1.0903212,0.9217926,0.0,1.1598616,1.2998009,1.090965,0.0,0.47811365,0.5964067,0.55391324,0.0,-0.06108896,0.14447536,0.17420952,0.0,0
1.1791719,1.189607,1.447776,0.0,0.60887325,1.0903212,0.9738059,0.0,1.2316141,1.2998009,1.0730622,0.0,0.46787995,0.5964067,0.67560637,0.0,0.012912309,0.14447536,0.099702954,0.0,0
1.2734826,1.6668901,1.3922613,0.0,0.88030744,1.2720912,0.7677042,0.0,1.2998142,1.3622848,0.8254061,0.0,0.44865045,0.90029186,0.8163939,0.0,0.06421574,0.3384495,0.11099434,0.0,0
0.91392,1.6668901,1.1523851,0.0,0.7326249,1.2720912,0.9095204,0.0,1.2971886,1.3622848,0.97012126,0.0,0.54381824,0.90029186,0.8650231,0.0,0.1285386,0.3384495,0.09485616,0.0,0
1.0309868,1.6668901,0.9343436,0.0,0.67786974,1.2720912,0.9067496,0.0,1.0808684,1.3622848,1.0899284,0.0,0.43217793,0.90029186,0.77658945,0.0,0.12869003,0.3384495,0.03612805,0.0,0
0.9046663,1.6668901,0.952617,0.0,0.7291904,1.2720912,1.0086737,0.0,1.3173645,1.3622848,1.1621474,0.0,0.37485716,0.90029186,0.7462374,0.0,-0.06620441,0.3384495,0.07892864,0.0,0
0.85502386,1.6668901,0.96727884,0.0,0.8354183,1.2720912,1.0300895,0.0,1.2763798,1.3622848,1.0808504,0.0,0.4055135,0.90029186,0.7430897,0.0,-0.07599782,0.3384495,0.18311335,0.0,0
0.6351267,1.6668901,1.1702499,0.0,0.93470335,1.2720912,0.63658416,0.0,1.2584275,1.3622848,1.1172818,0.0,0.3616487,0.90029186,0.31758237,0.0,-0.15294223,0.3384495,-0.000671817,0.0,0
1.1583612,1.6668901,1.1151681,0.0,0.761981,1.2720912,0.63978136,0.0,0.8906833,1.3622848,1.1169533,0.0,0.21940093,0.90029186,0.21040072,0.0,-0.15871158,0.3384495,-0.036667038,0.0,0
1.3451359,1.6668901,1.1737146,0.0,0.36216643,1.2720912,0.48731115,0.0,0.90911305,1.3622848,0.9460513,0.0,0.29072168,0.90029186,0.671698,0.0,-0.057794902,0.3384495,-0.3591975,0.0,0
1.5187846,1.6668901,0.9517446,0.0,0.80362046,1.2720912,0.76699656,0.0,1.3922603,1.3622848,1.1380782,0.0,0.35704392,0.90029186,0.61269164,0.0,0.07863466,0.3384495,-0.15991068,0.0,0
1.5187846,1.6668901,0.9220876,0.0,0.80362046,1.2720912,0.80692774,0.0,1.3922603,1.3622848,1.0694518,0.0,0.35704392,0.90029186,0.599735,0.0,0.07863466,0.3384495,-0.026262568,0.0,0
1.5187846,1.6668901,1.1683048,0.0,0.80362046,1.2720912,0.683352,0.0,1.3922603,1.3622848,0.95026517,0.0,0.35704392,0.90029186,0.43094116,0.0,0.07863466,0.3384495,-0.26437628,0.0,0
0.7728867,1.6668901,1.157057,0.0,0.26899475,1.2720912,0.6130392,0.0,0.7190304,1.3622848,0.9949238,0.0,0.18640465,0.90029186,0.48456532,0.0,-0.13806078,0.3384495,-0.23966682,0.0,0
0.7436441,1.6668901,1.0253242,0.0,0.55177367,1.2720912,0.8265479,0.0,0.81142193,1.3622848,0.64566916,0.0,0.3937699,0.90029186,0.4131047,0.0,-0.104900375,0.3384495,-0.12575291,0.0,0
0.5307647,1.6668901,0.95141375,0.0,0.73615736,1.2720912,0.75678086,0.0,1.0261929,1.3622848,0.87199366,0.0,0.29043558,0.90029186,0.4302036,0.0,-0.15176278,0.3384495,-0.18351883,0.0,0
0.24281187,1.6668901,1.046023,0.0,0.8871667,1.2720912,0.1978646,0.0,1.0981996,1.3622848,0.9060582,0.0,0.15500961,0.90029186,0.41007316,0.0,-0.2971215,0.3384495,-0.09612292,0.0,0
0.71091413,1.6668901,1.1484008,0.0,0.8949176,1.2720912,0.522268,0.0,1.2152828,1.3622848,0.87399465,0.0,0.4005906,0.90029186,0.31748864,0.0,-0.24642877,0.3384495,-0.07596455,0.0,0
0.595849,1.6668901,0.94619066,0.0,0.65811765,1.2720912,0.7664833,0.0,1.1985519,1.3622848,1.0143567,0.0,0.43800423,0.90029186,0.3020454,0.0,-0.23213182,0.3384495,-0.04221774,0.0,0
0.41142324,1.6668901,0.90855294,0.0,0.76026136,1.2720912,0.77681684,0.0,1.4462396,1.3622848,1.1185831,0.0,0.36411917,0.90029186,0.3783942,0.0,-0.17032082,0.3384495,-0.27644396,0.0,0
0.44868183,1.6668901,0.89474124,0.0,0.8478911,1.2720912,0.8407042,0.0,1.4550711,1.3622848,0.94775194,0.0,0.4003416,0.90029186,0.19201511,0.0,-0.23161961,0.3384495,-0.30993968,0.0,0
0.53360724,1.6668901,0.7253813,0.0,0.8418296,1.2720912,0.829036,0.0,1.1058688,1.3622848,0.7014467,0.0,0.44281057,0.90029186,0.24995649,0.0,-0.14876956,0.3384495,-0.2064039,0.0,0
0.49828207,1.6668901,0.5974348,0.0,0.8875384,1.2720912,0.54471433,0.0,1.2818539,1.3622848,0.58363086,0.0,0.39461538,0.90029186,0.4365778,0.0,-0.06542732,0.3384495,-0.22038475,0.0,0
0.707056,1.6668901,0.7147937,0.0,0.72731984,1.2720912,0.55625254,0.0,1.2477524,1.3622848,0.51844466,0.0,0.42014334,0.90029186,0.49036443,0.0,-0.20837212,0.3384495,-0.27033943,0.0,0
0.4419242,1.6668901,1.0384567,0.0,0.6579493,1.2720912,0.6866758,0.0,1.2329239,1.3622848,0.95769596,0.0,0.2745347,0.90029186,0.40606108,0.0,-0.3572605,0.3384495,-0.19793577,0.0,0
0.52855355,1.6668901,1.320445,0.0,0.6171233,1.2720912,0.8558644,0.0,1.3936056,1.3622848,0.9117921,0.0,0.4436925,0.90029186,0.52544564,0.0,-0.35326055,0.3384495,-0.19839577,0.0,0
0.6129982,1.6668901,1.1684201,0.0,0.58512014,1.2720912,0.8768694,0.0,1.2174048,1.3622848,0.91906667,0.0,0.514885,0.90029186,0.44793022,0.0,-0.29229718,0.3384495,-0.26743478,0.0,0
0.7813792,1.6668901,1.0597824,0.0,1.2129732,1.2720912,0.8198715,0.0,1.4893296,1.3622848,0.48828143,0.0,0.49639705,0.90029186,0.5709405,0.0,-0.229721,0.3384495,-0.086032026,0.0,0
0.99052596,1.6668901,1.2662758,0.0,1.0469918,1.2720912,0.6222814,0.0,1.4221969,1.3622848,0.72250974,0.0,0.4285284,0.90029186,0.4371204,0.0,-0.16966909,0.3384495,-0.1672095,0.0,0
0.7967196,1.6668901,1.0483847,0.0,1.1510086,1.2720912,0.54684436,0.0,1.5362521,1.3622848,0.7298193,0.0,0.4063165,0.90029186,0.39338028,0.0,-0.085468456,0.3384495,-0.18698807,0.0,0
0.7323774,1.6668901,0.872402,0.0,1.1568309,1.2720912,0.7464332,0.0,1.6020921,1.3622848,0.7141731,0.0,0.39156997,0.90029186,0.34240612,0.0,-0.1680789,0.3384495,-0.2798606,0.0,0
0.23530865,1.6668901,0.86750287,0.0,0.88832617,1.2720912,0.5006167,0.0,1.4808862,1.3622848,0.84378153,0.0,0.5020425,0.90029186,0.36855847,0.0,-0.18684168,0.3384495,-0.25055602,0.0,0
0.41151282,1.6668901,0.80130637,0.0,0.77371794,1.2720912,0.47808418,0.0,1.2649802,1.3622848,0.7654063,0.0,0.4871636,0.90029186,0.58670723,0.0,-0.23815563,0.3384495,-0.22315039,0.0,0
0.48354828,1.6668901,0.97350705,0.0,0.8803991,1.2720912,0.570171,0.0,1.358573,1.3622848,0.71613413,0.0,0.5252492,0.90029186,0.32395115,0.0,-0.23218292,0.3384495,-0.2828034,0.0,0
0.8039621,1.6668901,1.0417911,0.0,1.1009074,1.2720912,0.5281522,0.0,1.5318487,1.3622848,0.6981923,0.0,0.42485723,0.90029186,0.39430618,0.0,-0.17429595,0.3384495,-0.20264085,0.0,0
0.4569529,1.6668901,1.0417911,0.0,0.9167465,1.2720912,0.5281522,0.0,1.4423423,1.3622848,0.6981923,0.0,0.23197521,0.90029186,0.39430618,0.0,0.0067334976,0.3384495,-0.20264085,0.0,0
0.68092686,1.6668901,1.476526,0.0,1.0895227,1.2720912,0.7664963,0.0,1.3785294,1.3622848,0.90900093,0.0,0.46419865,0.90029186,0.43531013,0.0,-0.13471824,0.3384495,-0.31468254,0.0,0
0.51287663,1.6668901,1.4790967,0.0,0.87550247,1.2720912,1.0977985,0.0,1.315342,1.3622848,0.8341621,0.0,0.5794253,0.90029186,0.49817207,0.0,-0.19695129,0.3384495,-0.28069675,0.0,0
0.23572093,1.6668901,1.1185039,0.0,0.81330127,1.2720912,1.0099217,0.0,1.2908204,1.3622848,0.8461778,0.0,0.47513688,0.90029186,0.3027232,0.0,-0.25220528,0.3384495,-0.31761587,0.0,0
0.558146,1.6668901,0.92487484,0.0,0.77201,1.2720912,0.86460876,0.0,0.93261814,1.3622848,0.89482105,0.0,0.31985083,0.90029186,0.22492169,0.0,-0.22909138,0.3384495,-0.27859753,0.0,0
0.5654933,1.6668901,1.0485414,0.0,0.97599167,1.2720912,0.6153336,0.0,0.9863516,1.3622848,0.7038237,0.0,0.3702577,0.90029186,0.19991863,0.0,-0.25941837,0.3384495,-0.2687649,0.0,0
0.814459,1.6668901,1.1574022,0.0,1.0793825,1.2720912,0.6451794,0.0,1.3748931,1.3622848,0.795878,0.0,0.45211953,0.90029186,0.32016426,0.0,-0.09618431,0.3384495,-0.4953311,0.0,0
0.6410411,1.6668901,1.0615406,0.0,1.1422918,1.2720912,0.621636,0.0,1.53264,1.3622848,0.7078948,0.0,0.4198494,0.90029186,0.5863095,0.0,-0.094736144,0.3384495,-0.3507735,0.0,0
0.14046578,1.6668901,0.97760135,0.0,0.97145605,1.2720912,0.51854724,0.0,1.3062309,1.3622848,0.5481521,0.0,0.17373782,0.90029186,0.4109779,0.0,0.047312137,0.3384495,-0.022052454,0.0,0
0.7167815,1.6668901,1.0769125,0.0,1.4934392,1.2720912,0.39341965,0.0,1.7028941,1.3622848,0.7188928,0.0,0.6331038,0.90029186,0.29394606,0.0,-0.15539546,0.3384495,-0.12218932,0.0,0
0.78577435,1.6668901,1.1126763,0.0,1.4687018,1.2720912,0.66078347,0.0,1.6742401,1.3622848,0.6153913,0.0,0.53274375,0.90029186,0.28084683,0.0,-0.050161026,0.3384495,-0.43339655,0.0,0
0.7712255,1.6668901,0.9812646,0.0,1.1565821,1.2720912,0.7846141,0.0,1.5489883,1.3622848,0.2628787,0.0,0.3825113,0.90029186,0.18288378,0.0,0.017600538,0.3384495,-0.5244828,0.0,0
0.5226824,1.6668901,1.2411033,0.0,0.9720027,1.2720912,0.4927532,0.0,1.3567044,1.3622848,0.50675464,0.0,0.3029093,0.90029186,0.26626766,0.0,-0.03410418,0.3384495,-0.29812565,0.0,0
0.35586324,1.0298569,1.3838356,0.0,0.79736584,1.7717959,0.58577013,0.0,1.2936875,1.6146698,0.27555615,0.0,0.44150725,1.1329534,0.2012107,0.0,-0.22643292,0.5520398,-0.17077725,0.0,0
1.0767308,1.1567525,1.3364148,0.0,0.9121967,1.7302269,0.8430341,0.0,1.2491399,1.5971559,0.80669534,0.0,0.39078403,1.0081025,0.23180525,0.0,-0.16371432,0.5271324,-0.225349,0.0,0
0.9774129,1.3770195,1.2100703,0.0,1.2620963,1.692597,0.93185943,0.0,1.5307341,1.517162,0.8813457,0.0,0.49228248,0.9510964,0.2722286,0.0,-0.018945858,0.35489345,-0.21267354,0.0,0
0.65794516,1.3770195,1.0633401,0.0,1.0185475,1.692597,0.8800756,0.0,1.5059029,1.517162,0.7955178,0.0,0.51018304,0.9510964,0.15076727,0.0,-0.02307691,0.35489345,-0.19658993,0.0,0
0.5486867,1.3770195,0.679174,0.0,0.46113193,1.692597,0.62991375,0.0,0.97721136,1.517162,0.8798139,0.0,0.35381925,0.9510964,0.23865671,0.0,-0.2418548,0.35489345,-0.24140593,0.0,0
